Evaluation
Total Distance	1624.0440985072219
Used Vehicle Number	13

VehicleID	CustomerID
0	o-98-37-92-91-44-38-86-16-61-14-d
1	o-51-30-69-64-63-90-32-70-d
2	o-49-62-47-36-46-48-19-d
3	o-57-42-43-15-72-39-56-75-22-41-d
4	o-20-10-11-71-65-66-d
5	o-54-21-73-23-55-80-29-24-d
6	o-78-34-3-76-79-81-33-35-77-d
7	o-50-12-68-67-4-74-2-95-d
8	o-45-17-85-93-99-84-5-60-83-96-59-d
9	o-82-18-6-94-97-87-26-25-40-d
10	o-52-1-31-88-7-8-27-13-89-d
11	o-28-53-100-58-d
12	o-9-d
13	o-d
14	o-d
15	o-d
16	o-d
17	o-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
