Evaluation
Total Distance	1289.3014445881042
Used Vehicle Number	11

VehicleID	CustomerID
0	o-46-47-36-49-64-63-90-32-27-d
1	o-30-20-66-71-65-35-34-78-29-28-d
2	o-61-16-86-44-38-14-17-45-60-89-d
3	o-42-43-15-41-22-75-56-74-57-2-58-d
4	o-59-37-98-91-85-93-99-84-5-83-82-18-6-d
5	o-50-3-68-80-24-54-39-55-25-26-d
6	o-21-72-73-23-67-4-12-40-d
7	o-48-19-62-11-10-70-31-88-7-52-d
8	o-96-97-92-95-87-53-81-94-d
9	o-33-51-9-79-77-1-d
10	o-69-76-8-13-100-d
11	o-d
12	o-d
13	o-d
14	o-d
15	o-d
16	o-d
17	o-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
