Evaluation
Total Distance	1754.8778740738426
Used Vehicle Number	11

VehicleID	CustomerID
0	o-98-96-95-94-97-93-12-2-1-d
1	o-18-19-16-14-15-28-75-7-5-3-d
2	o-13-17-8-10-11-9-6-4-82-85-91-d
3	o-32-31-37-35-34-38-39-36-51-29-24-20-d
4	o-52-33-54-60-50-48-46-47-26-21-d
5	o-43-42-25-27-30-45-23-22-57-59-d
6	o-61-55-40-44-58-77-71-73-81-72-d
7	o-67-65-41-53-56-90-88-89-86-83-63-d
8	o-78-76-74-84-64-68-66-69-49-d
9	o-87-62-70-79-80-d
10	o-92-100-99-d
11	o-d
12	o-d
13	o-d
14	o-d
15	o-d
16	o-d
17	o-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
