Evaluation
Total Distance	1774.5966264796666
Used Vehicle Number	12

VehicleID	CustomerID
0	o-60-54-57-44-46-45-59-52-50-51-48-d
1	o-47-42-41-40-56-58-72-82-81-71-73-d
2	o-96-95-94-97-92-12-14-16-19-18-d
3	o-13-17-37-15-11-9-6-4-1-2-d
4	o-91-89-86-83-85-93-100-99-3-75-98-d
5	o-31-33-34-35-32-38-39-36-24-29-d
6	o-90-78-76-70-84-77-79-66-63-61-d
7	o-43-55-53-74-20-64-68-22-26-28-d
8	o-7-5-21-8-30-88-80-69-49-d
9	o-67-25-27-10-23-d
10	o-65-62-d
11	o-87-d
12	o-d
13	o-d
14	o-d
15	o-d
16	o-d
17	o-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
