Evaluation
Total Distance	1723.5933402408884
Used Vehicle Number	11

VehicleID	CustomerID
0	o-73-71-76-81-70-77-79-80-85-83-82-d
1	o-86-78-90-91-98-96-100-97-95-94-89-d
2	o-59-57-54-53-56-58-51-60-d
3	o-12-14-16-92-93-9-6-1-2-d
4	o-37-33-32-35-31-38-39-36-34-d
5	o-18-17-28-29-26-24-21-7-3-5-19-d
6	o-13-75-8-15-11-47-46-48-50-52-20-d
7	o-61-55-43-74-63-45-64-68-66-69-72-d
8	o-67-87-62-44-84-88-99-49-d
9	o-42-25-27-10-30-23-22-d
10	o-65-41-40-4-d
11	o-d
12	o-d
13	o-d
14	o-d
15	o-d
16	o-d
17	o-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
