Evaluation
Total Distance	1859.1843109439947
Used Vehicle Number	12

VehicleID	CustomerID
0	o-67-59-60-54-56-58-57-61-72-d
1	o-13-12-14-16-15-37-36-18-19-d
2	o-63-65-76-71-70-81-77-79-80-83-73-d
3	o-86-87-89-85-92-93-94-95-96-82-d
4	o-28-17-26-24-29-52-50-51-48-31-32-34-d
5	o-46-42-41-40-44-43-45-64-21-20-49-47-d
6	o-7-33-35-1-98-97-100-99-2-3-d
7	o-90-55-53-74-5-6-4-75-69-91-d
8	o-78-62-10-11-9-88-22-d
9	o-25-27-30-39-23-66-d
10	o-8-84-68-d
11	o-38-d
12	o-d
13	o-d
14	o-d
15	o-d
16	o-d
17	o-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
