Evaluation
Total Distance	1861.9969683932534
Used Vehicle Number	14

VehicleID	CustomerID
0	o-5-45-7-6-8-46-4-3-1-100-70-d
1	o-42-44-2-79-13-17-d
2	o-15-16-47-14-11-10-9-97-74-d
3	o-83-59-87-12-78-55-60-d
4	o-65-21-23-19-49-22-18-25-48-d
5	o-63-33-76-89-20-24-80-d
6	o-31-28-27-29-30-32-26-93-d
7	o-95-62-51-85-84-50-34-91-d
8	o-72-39-36-40-38-37-41-43-35-d
9	o-82-98-99-52-57-86-77-58-d
10	o-92-69-88-73-53-66-d
11	o-64-71-67-94-96-54-68-d
12	o-75-90-56-d
13	o-81-61-d
14	o-d
15	o-d
16	o-d
17	o-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
