Evaluation
Total Distance	2043.5435523579695
Used Vehicle Number	15

VehicleID	CustomerID
0	o-83-52-65-87-86-77-58-d
1	o-95-62-92-33-32-26-93-80-d
2	o-82-98-88-69-53-78-13-17-d
3	o-39-36-72-38-40-35-37-70-d
4	o-2-44-42-43-41-1-100-d
5	o-47-15-16-14-12-9-10-97-d
6	o-5-7-8-45-46-6-4-3-60-d
7	o-63-76-64-18-49-25-48-d
8	o-75-59-99-57-74-24-d
9	o-73-11-79-55-68-d
10	o-19-22-21-23-20-89-d
11	o-29-27-28-31-30-34-50-91-d
12	o-67-94-71-84-56-66-d
13	o-81-61-90-54-96-d
14	o-85-51-d
15	o-d
16	o-d
17	o-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
