Evaluation
Total Distance	1755.578008843133
Used Vehicle Number	14

VehicleID	CustomerID
0	o-31-29-30-28-27-26-32-34-93-80-d
1	o-95-33-63-76-89-24-91-d
2	o-5-45-7-6-8-3-1-46-4-100-70-d
3	o-47-15-16-14-73-79-17-60-d
4	o-39-36-38-40-44-43-35-68-d
5	o-83-59-75-97-58-74-13-d
6	o-2-78-12-10-9-55-d
7	o-65-23-21-18-19-49-48-77-25-d
8	o-72-71-42-37-41-96-54-d
9	o-92-62-51-85-22-20-66-d
10	o-52-64-84-67-50-56-d
11	o-82-11-86-87-57-d
12	o-69-98-88-61-81-94-d
13	o-99-90-53-d
14	o-d
15	o-d
16	o-d
17	o-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
