Evaluation
Total Distance	1838.7949322271584
Used Vehicle Number	14

VehicleID	CustomerID
0	o-92-62-67-95-84-51-85-89-91-d
1	o-39-36-38-42-44-43-40-37-35-93-d
2	o-65-59-75-97-87-77-58-d
3	o-15-16-47-14-11-10-9-17-13-d
4	o-31-30-28-27-29-34-32-26-80-d
5	o-83-23-21-18-19-49-57-74-24-d
6	o-33-63-76-22-20-25-48-d
7	o-72-71-50-94-54-96-70-d
8	o-45-7-8-5-3-46-4-100-55-d
9	o-52-99-82-86-56-66-d
10	o-12-73-90-68-1-d
11	o-2-79-78-6-60-d
12	o-69-98-53-88-81-d
13	o-64-61-41-d
14	o-d
15	o-d
16	o-d
17	o-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
