Evaluation
Total Distance	1807.1351441082347
Used Vehicle Number	14

VehicleID	CustomerID
0	o-31-28-27-29-30-32-26-93-80-d
1	o-14-59-87-75-77-58-74-d
2	o-63-33-76-85-89-91-d
3	o-47-15-16-12-11-9-13-97-d
4	o-92-95-62-67-84-50-34-d
5	o-23-21-18-19-49-20-22-24-48-25-d
6	o-39-36-40-42-44-38-43-37-35-d
7	o-2-45-8-5-46-4-3-1-100-70-d
8	o-65-73-79-7-78-10-17-d
9	o-83-52-99-64-51-66-56-d
10	o-82-69-98-88-53-6-55-60-d
11	o-72-90-57-86-68-d
12	o-71-81-61-41-96-54-d
13	o-94-d
14	o-d
15	o-d
16	o-d
17	o-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
