Evaluation
Total Distance	1795.629359536224
Used Vehicle Number	17

VehicleID	CustomerID
0	o-92-43-14-38-86-16-61-85-91-100-37-d
1	o-97-42-15-75-22-72-56-74-73-57-d
2	o-83-45-82-48-19-49-47-46-7-52-d
3	o-31-27-71-9-20-63-90-32-d
4	o-81-33-51-3-78-24-29-34-50-d
5	o-36-64-10-5-60-18-d
6	o-54-39-23-67-55-4-26-21-d
7	o-12-1-69-30-66-70-28-d
8	o-65-79-35-77-d
9	o-96-89-62-88-2-94-95-59-98-d
10	o-11-8-17-93-d
11	o-44-87-13-58-d
12	o-76-53-68-25-d
13	o-99-84-80-d
14	o-40-d
15	o-41-d
16	o-6-d
17	o-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
