Evaluation
Total Distance	1833.4059872185453
Used Vehicle Number	17

VehicleID	CustomerID
0	o-71-65-78-34-29-24-3-77-28-d
1	o-14-43-15-87-2-75-74-72-57-d
2	o-54-39-23-41-56-4-21-73-26-d
3	o-61-16-86-44-91-85-37-98-59-60-95-d
4	o-32-20-30-49-19-63-90-d
5	o-83-45-46-47-48-82-7-18-5-96-94-d
6	o-92-42-97-40-53-51-81-80-12-d
7	o-31-27-69-50-9-66-70-1-d
8	o-36-64-10-13-89-52-d
9	o-33-99-84-17-100-d
10	o-76-79-68-25-d
11	o-38-93-d
12	o-67-55-58-d
13	o-62-11-35-d
14	o-88-6-d
15	o-8-d
16	o-22-d
17	o-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
