Evaluation
Total Distance	1725.2657768015324
Used Vehicle Number	18

VehicleID	CustomerID
0	o-71-65-20-81-34-29-24-28-d
1	o-31-90-63-64-19-47-46-83-60-89-d
2	o-14-43-15-57-2-56-74-75-72-58-d
3	o-54-39-23-67-55-4-25-26-d
4	o-18-82-48-11-49-32-7-52-d
5	o-61-16-86-44-91-98-37-85-59-94-d
6	o-51-33-3-76-79-50-35-77-12-d
7	o-92-42-38-5-96-97-100-95-d
8	o-73-21-88-10-70-1-d
9	o-45-99-84-17-93-d
10	o-69-30-78-68-80-d
11	o-36-87-13-d
12	o-62-9-66-d
13	o-27-6-d
14	o-22-d
15	o-41-d
16	o-8-d
17	o-40-53-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
