Evaluation
Total Distance	1760.1017602843744
Used Vehicle Number	17

VehicleID	CustomerID
0	o-71-65-20-32-66-51-81-1-d
1	o-14-43-15-57-75-56-74-72-73-2-d
2	o-54-24-29-34-78-35-50-3-d
3	o-21-39-23-67-55-4-25-26-d
4	o-91-16-86-44-37-98-85-61-17-83-5-d
5	o-94-95-97-59-96-99-6-47-46-60-89-d
6	o-31-90-63-64-49-19-48-82-7-18-d
7	o-45-88-8-28-12-52-d
8	o-33-30-9-10-70-d
9	o-36-11-68-80-d
10	o-92-42-38-13-100-d
11	o-27-69-22-77-d
12	o-40-53-93-d
13	o-41-58-d
14	o-62-84-d
15	o-76-79-d
16	o-87-d
17	o-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
