Evaluation
Total Distance	1641.3735174728085
Used Vehicle Number	16

VehicleID	CustomerID
0	o-71-65-20-51-81-35-34-3-d
1	o-31-90-63-64-49-46-47-19-7-d
2	o-75-39-23-67-55-29-24-d
3	o-16-86-44-38-43-85-91-14-d
4	o-36-11-32-10-18-82-48-d
5	o-50-33-1-30-9-66-12-54-d
6	o-2-57-21-73-72-22-56-4-25-26-d
7	o-89-52-69-76-78-68-80-28-d
8	o-37-42-15-97-59-5-61-17-98-93-d
9	o-83-45-96-99-84-95-94-13-60-d
10	o-92-41-74-100-d
11	o-62-88-8-70-d
12	o-27-79-77-d
13	o-87-58-d
14	o-6-d
15	o-40-53-d
16	o-d
17	o-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
