Evaluation
Total Distance	1442.1229204280176
Used Vehicle Number	3

VehicleID	CustomerID
0	o-59-98-92-83-45-47-36-64-63-62-11-90-30-31-88-19-48-46-8-82-7-49-32-71-66-20-81-51-34-35-3-24-55-4-72-74-43-100-91-17-5-60-93-37-89-d
1	o-28-52-2-42-14-16-61-85-95-94-15-57-73-39-23-41-22-75-67-29-79-78-9-10-86-97-56-21-26-12-68-13-25-54-80-77-50-1-70-58-d
2	o-33-65-69-27-18-44-38-99-76-40-53-6-87-84-96-d
3	o-d
4	o-d
5	o-d
6	o-d
7	o-d
8	o-d
9	o-d
10	o-d
11	o-d
12	o-d
13	o-d
14	o-d
15	o-d
16	o-d
17	o-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
