Evaluation
Total Distance	1565.8837917016485
Used Vehicle Number	4

VehicleID	CustomerID
0	o-28-52-31-63-65-71-51-33-30-90-64-11-36-47-46-82-8-48-19-49-32-20-66-34-81-3-68-54-72-75-56-4-55-24-80-50-77-35-70-60-1-d
1	o-21-39-92-14-16-61-85-98-59-42-91-44-15-23-67-73-41-22-57-43-86-84-5-83-18-7-10-96-37-97-95-93-17-2-13-26-25-58-89-100-d
2	o-45-27-62-88-69-29-76-12-40-38-99-87-53-94-6-74-d
3	o-78-79-9-d
4	o-d
5	o-d
6	o-d
7	o-d
8	o-d
9	o-d
10	o-d
11	o-d
12	o-d
13	o-d
14	o-d
15	o-d
16	o-d
17	o-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
