Evaluation
Total Distance	1563.863340505257
Used Vehicle Number	4

VehicleID	CustomerID
0	o-19-36-63-90-32-20-71-65-51-81-34-3-29-24-67-75-72-57-43-41-22-14-86-16-91-85-2-73-21-56-4-55-68-35-70-50-77-25-54-80-12-28-d
1	o-7-82-48-47-46-45-83-60-5-61-98-37-59-95-97-44-15-38-99-96-94-52-18-8-84-6-26-1-31-10-66-74-13-17-100-93-58-89-d
2	o-92-42-39-33-69-27-62-11-64-88-30-76-40-78-79-9-49-d
3	o-23-87-53-d
4	o-d
5	o-d
6	o-d
7	o-d
8	o-d
9	o-d
10	o-d
11	o-d
12	o-d
13	o-d
14	o-d
15	o-d
16	o-d
17	o-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
