Evaluation
Total Distance	1628.0639838739248
Used Vehicle Number	4

VehicleID	CustomerID
0	o-63-90-32-20-51-81-34-71-65-64-11-19-47-46-48-82-7-9-78-79-3-50-1-12-26-21-73-72-75-56-54-55-24-4-68-35-70-31-77-80-25-29-d
1	o-42-43-14-91-85-61-16-86-45-36-62-30-69-88-52-99-98-37-8-83-84-5-60-18-49-66-10-28-94-95-97-13-74-2-57-59-96-17-100-93-58-89-d
2	o-92-33-27-39-15-44-23-76-67-40-53-22-41-d
3	o-38-6-87-d
4	o-d
5	o-d
6	o-d
7	o-d
8	o-d
9	o-d
10	o-d
11	o-d
12	o-d
13	o-d
14	o-d
15	o-d
16	o-d
17	o-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
