Evaluation
Total Distance	1621.1515608753043
Used Vehicle Number	4

VehicleID	CustomerID
0	o-19-47-36-63-90-32-20-65-71-34-29-24-3-81-51-30-88-7-31-50-79-78-9-54-21-73-72-75-56-55-4-74-26-68-12-35-77-80-25-70-1-d
1	o-37-98-85-91-61-16-86-14-43-42-95-57-15-23-67-97-59-38-87-41-22-96-5-60-83-46-10-66-48-82-18-52-89-94-13-17-93-100-58-2-28-d
2	o-92-45-27-33-64-11-62-69-44-99-40-53-8-84-6-d
3	o-39-76-49-d
4	o-d
5	o-d
6	o-d
7	o-d
8	o-d
9	o-d
10	o-d
11	o-d
12	o-d
13	o-d
14	o-d
15	o-d
16	o-d
17	o-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
