Evaluation
Total Distance	1583.5306639459316
Used Vehicle Number	4

VehicleID	CustomerID
0	o-57-42-85-61-16-91-2-21-73-72-75-39-67-23-43-38-86-14-41-22-26-12-3-56-55-24-29-34-35-71-81-54-4-50-20-51-77-80-25-d
1	o-31-32-90-63-19-47-36-46-45-83-48-64-11-62-30-1-88-7-18-60-5-84-8-49-52-10-66-68-74-13-97-37-98-59-96-95-100-93-17-94-89-82-28-d
2	o-92-27-65-33-69-15-44-76-40-99-87-53-6-58-70-d
3	o-78-79-9-d
4	o-d
5	o-d
6	o-d
7	o-d
8	o-d
9	o-d
10	o-d
11	o-d
12	o-d
13	o-d
14	o-d
15	o-d
16	o-d
17	o-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
