Evaluation
Total Distance	1261.3362657131618
Used Vehicle Number	4

VehicleID	CustomerID
0	o-1-7-98-95-97-94-100-92-3-88-86-90-91-4-96-78-81-80-73-70-71-85-76-40-57-59-54-60-56-49-72-82-83-d
1	o-17-12-14-16-19-18-26-28-32-33-34-36-38-39-37-35-31-6-52-50-51-44-41-42-45-46-43-47-63-66-61-64-65-68-d
2	o-93-89-5-75-2-99-10-21-22-27-30-29-24-53-58-20-23-15-13-25-9-11-8-77-87-48-d
3	o-67-62-74-69-55-84-79-d
4	o-d
5	o-d
6	o-d
7	o-d
8	o-d
9	o-d
10	o-d
11	o-d
12	o-d
13	o-d
14	o-d
15	o-d
16	o-d
17	o-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
