Evaluation
Total Distance	1278.8211172483361
Used Vehicle Number	4

VehicleID	CustomerID
0	o-3-7-98-95-94-97-100-92-83-78-80-81-73-70-71-85-82-84-88-86-90-91-89-1-2-13-12-14-16-19-18-17-93-d
1	o-27-30-26-28-34-36-32-33-31-35-37-39-38-59-53-56-58-60-54-57-40-44-46-45-52-50-51-47-42-41-6-29-24-20-d
2	o-63-96-62-74-66-68-64-69-61-72-49-65-55-4-75-5-10-23-21-22-43-76-15-25-9-11-8-77-87-48-d
3	o-67-99-79-d
4	o-d
5	o-d
6	o-d
7	o-d
8	o-d
9	o-d
10	o-d
11	o-d
12	o-d
13	o-d
14	o-d
15	o-d
16	o-d
17	o-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
