Evaluation
Total Distance	1408.5916676891209
Used Vehicle Number	4

VehicleID	CustomerID
0	o-72-67-62-65-40-57-59-60-56-54-49-55-46-53-82-78-85-81-71-73-70-80-76-83-86-96-79-88-66-68-64-61-d
1	o-63-41-42-74-98-99-100-97-92-95-94-1-7-3-4-89-91-84-35-37-39-28-26-17-18-19-16-14-12-5-75-2-90-d
2	o-45-51-50-52-31-33-32-36-69-29-34-38-6-30-27-24-22-23-21-48-44-93-15-13-25-9-10-11-8-20-47-43-d
3	o-58-77-87-d
4	o-d
5	o-d
6	o-d
7	o-d
8	o-d
9	o-d
10	o-d
11	o-d
12	o-d
13	o-d
14	o-d
15	o-d
16	o-d
17	o-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
