Evaluation
Total Distance	1398.4604901475873
Used Vehicle Number	4

VehicleID	CustomerID
0	o-3-7-98-95-94-97-100-92-83-78-80-81-73-70-71-85-82-84-88-86-90-91-89-75-2-13-12-14-16-19-18-17-1-d
1	o-5-10-26-28-30-99-96-72-61-49-54-56-4-57-58-60-59-40-44-46-45-51-50-42-41-68-65-64-63-77-66-93-d
2	o-43-47-52-31-35-34-36-39-37-33-32-38-55-53-48-20-22-23-21-24-27-29-15-25-9-11-8-87-6-d
3	o-67-62-74-69-76-79-d
4	o-d
5	o-d
6	o-d
7	o-d
8	o-d
9	o-d
10	o-d
11	o-d
12	o-d
13	o-d
14	o-d
15	o-d
16	o-d
17	o-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
