Evaluation
Total Distance	1598.3769694232074
Used Vehicle Number	4

VehicleID	CustomerID
0	o-1-7-98-95-97-94-100-92-3-89-91-88-86-83-82-78-85-84-80-81-71-73-76-96-72-49-79-56-60-54-70-d
1	o-42-59-57-40-46-65-64-61-68-45-51-50-55-53-35-58-23-18-19-16-14-12-15-26-28-34-32-33-36-39-37-31-d
2	o-6-29-30-17-27-24-52-47-43-41-48-38-4-90-63-66-93-75-5-2-10-21-20-13-25-9-11-8-77-87-22-d
3	o-67-62-74-99-69-44-d
4	o-d
5	o-d
6	o-d
7	o-d
8	o-d
9	o-d
10	o-d
11	o-d
12	o-d
13	o-d
14	o-d
15	o-d
16	o-d
17	o-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
