Evaluation
Total Distance	1496.5120405453483
Used Vehicle Number	4

VehicleID	CustomerID
0	o-26-33-92-51-85-63-89-18-48-21-23-19-49-20-22-24-76-84-57-64-56-95-94-93-71-96-54-72-41-39-42-43-40-37-36-35-34-31-29-27-28-30-32-50-d
1	o-59-75-97-10-12-14-16-47-17-73-78-69-6-2-1-3-5-45-46-8-7-79-60-53-86-52-83-66-65-82-88-4-13-74-58-77-25-90-100-98-d
2	o-68-70-61-81-80-91-15-11-67-62-38-99-9-87-55-d
3	o-44-d
4	o-d
5	o-d
6	o-d
7	o-d
8	o-d
9	o-d
10	o-d
11	o-d
12	o-d
13	o-d
14	o-d
15	o-d
16	o-d
17	o-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
