Evaluation
Total Distance	1384.4181471226468
Used Vehicle Number	3

VehicleID	CustomerID
0	o-24-22-20-49-19-63-33-28-26-27-89-18-48-21-23-75-97-59-87-16-17-9-10-60-78-73-47-14-12-86-74-57-52-13-77-58-25-51-85-95-90-d
1	o-42-43-40-36-35-37-72-71-34-31-29-30-32-50-62-76-64-67-84-83-66-56-91-81-61-68-70-98-88-2-6-7-46-45-5-3-1-4-39-41-54-96-93-94-80-d
2	o-92-82-15-11-69-44-38-79-53-99-8-55-100-65-d
3	o-d
4	o-d
5	o-d
6	o-d
7	o-d
8	o-d
9	o-d
10	o-d
11	o-d
12	o-d
13	o-d
14	o-d
15	o-d
16	o-d
17	o-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
