Evaluation
Total Distance	1315.0998569663534
Used Vehicle Number	3

VehicleID	CustomerID
0	o-33-32-30-28-26-27-29-31-71-72-41-39-37-35-36-40-43-44-42-38-2-6-7-79-8-73-59-97-16-17-47-14-12-10-78-46-4-70-88-60-45-5-3-1-100-d
1	o-52-57-86-75-24-22-20-49-19-21-48-18-23-89-76-51-63-85-67-95-56-64-83-66-84-50-34-91-80-94-93-96-81-55-98-13-58-82-68-61-54-d
2	o-90-65-92-62-69-15-11-9-53-99-87-74-25-77-d
3	o-d
4	o-d
5	o-d
6	o-d
7	o-d
8	o-d
9	o-d
10	o-d
11	o-d
12	o-d
13	o-d
14	o-d
15	o-d
16	o-d
17	o-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
