Evaluation
Total Distance	1323.2413444731205
Used Vehicle Number	3

VehicleID	CustomerID
0	o-57-86-47-16-59-97-75-24-22-20-49-19-21-48-18-23-89-76-51-63-85-84-64-56-95-93-71-72-37-36-35-40-43-42-39-41-50-34-33-32-30-31-29-27-28-26-d
1	o-61-70-2-1-3-5-45-46-7-6-60-78-73-12-14-17-15-11-10-88-98-82-99-83-87-9-90-54-81-68-55-13-65-66-52-74-58-25-77-80-94-91-d
2	o-96-92-62-69-44-38-67-53-79-8-4-100-d
3	o-d
4	o-d
5	o-d
6	o-d
7	o-d
8	o-d
9	o-d
10	o-d
11	o-d
12	o-d
13	o-d
14	o-d
15	o-d
16	o-d
17	o-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
