Evaluation
Total Distance	1500.1834817202391
Used Vehicle Number	4

VehicleID	CustomerID
0	o-18-48-21-86-59-75-97-10-12-14-16-15-47-17-11-78-73-2-6-7-46-45-5-8-60-88-70-72-41-42-39-37-35-36-40-43-4-61-54-68-100-3-1-d
1	o-24-22-20-49-19-63-33-28-26-27-29-30-32-89-23-76-85-51-57-52-87-9-83-64-56-95-50-34-31-71-93-94-96-81-98-58-77-25-82-90-d
2	o-80-91-92-66-65-69-62-67-38-44-99-53-79-55-74-13-d
3	o-84-d
4	o-d
5	o-d
6	o-d
7	o-d
8	o-d
9	o-d
10	o-d
11	o-d
12	o-d
13	o-d
14	o-d
15	o-d
16	o-d
17	o-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
