Evaluation
Total Distance	2032.9572876636928
Used Vehicle Number	5

VehicleID	CustomerID
0	o-59-5-45-36-47-63-65-64-11-19-88-30-71-78-9-81-51-79-57-10-46-96-37-43-13-4-74-25-24-70-77-80-58-d
1	o-72-39-33-31-62-82-83-98-44-16-61-38-99-18-7-8-90-49-20-34-32-66-1-68-35-17-48-100-93-d
2	o-92-14-42-95-2-15-28-27-52-69-29-73-67-40-94-22-41-50-3-26-55-54-56-91-89-60-d
3	o-23-75-21-12-76-85-6-84-86-97-d
4	o-87-53-d
5	o-d
6	o-d
7	o-d
8	o-d
9	o-d
10	o-d
11	o-d
12	o-d
13	o-d
14	o-d
15	o-d
16	o-d
17	o-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
