Evaluation
Total Distance	1884.0621352635776
Used Vehicle Number	5

VehicleID	CustomerID
0	o-92-5-72-39-2-42-14-98-59-15-23-67-75-73-40-41-22-87-94-84-57-56-43-97-37-96-13-74-91-100-93-17-60-48-70-58-d
1	o-45-36-63-65-33-29-12-71-11-30-51-78-9-81-79-53-34-3-50-10-20-66-32-35-68-24-4-25-89-77-80-d
2	o-47-83-82-52-31-64-19-62-88-7-90-18-8-6-49-46-26-55-54-1-d
3	o-95-27-28-69-21-44-38-16-61-99-85-86-d
4	o-76-d
5	o-d
6	o-d
7	o-d
8	o-d
9	o-d
10	o-d
11	o-d
12	o-d
13	o-d
14	o-d
15	o-d
16	o-d
17	o-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
