Evaluation
Total Distance	1989.2995122665598
Used Vehicle Number	4

VehicleID	CustomerID
0	o-59-5-45-36-47-63-65-29-71-11-30-51-90-9-81-79-78-34-3-50-66-20-32-35-68-24-4-77-1-89-48-70-58-d
1	o-92-42-14-95-39-72-15-23-75-2-38-44-61-16-85-99-84-86-94-57-10-46-96-37-43-91-13-74-100-93-80-25-d
2	o-33-27-83-82-62-64-31-98-7-19-88-8-18-53-6-49-26-55-54-56-17-60-d
3	o-28-69-52-21-67-12-76-73-40-87-22-41-97-d
4	o-d
5	o-d
6	o-d
7	o-d
8	o-d
9	o-d
10	o-d
11	o-d
12	o-d
13	o-d
14	o-d
15	o-d
16	o-d
17	o-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
