Evaluation
Total Distance	2093.8670447402314
Used Vehicle Number	5

VehicleID	CustomerID
0	o-59-5-45-36-47-63-65-69-71-29-73-67-40-22-57-41-3-50-46-96-37-74-4-24-13-93-91-48-100-58-d
1	o-92-42-72-39-33-31-52-83-82-62-11-19-64-88-18-7-84-8-94-6-20-34-32-66-1-68-35-77-80-25-70-d
2	o-14-95-28-15-2-23-75-21-12-76-30-51-79-9-81-78-90-49-26-10-55-54-89-17-60-d
3	o-27-98-44-16-61-99-38-85-87-86-43-97-56-d
4	o-53-d
5	o-d
6	o-d
7	o-d
8	o-d
9	o-d
10	o-d
11	o-d
12	o-d
13	o-d
14	o-d
15	o-d
16	o-d
17	o-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
