Evaluation
Total Distance	2127.0689777158996
Used Vehicle Number	6

VehicleID	CustomerID
0	o-92-59-5-45-83-95-14-42-2-21-23-75-15-44-16-61-38-85-84-86-94-57-10-46-96-37-43-13-4-74-24-70-77-80-25-d
1	o-36-47-63-65-64-11-19-62-30-7-88-90-9-51-78-3-50-20-34-32-66-1-68-35-17-48-100-93-d
2	o-72-39-28-27-31-69-33-12-71-29-73-67-40-53-22-41-26-55-54-56-91-89-60-58-d
3	o-52-98-82-76-18-6-99-8-49-97-d
4	o-79-87-d
5	o-81-d
6	o-d
7	o-d
8	o-d
9	o-d
10	o-d
11	o-d
12	o-d
13	o-d
14	o-d
15	o-d
16	o-d
17	o-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
