Evaluation
Total Distance	1755.1678310255866
Used Vehicle Number	13

VehicleID	CustomerID
0	o-95-92-31-29-27-28-26-30-33-d
1	o-78-69-60-79-47-17-73-d
2	o-85-50-62-89-34-32-d
3	o-82-12-14-16-15-87-59-75-97-d
4	o-57-86-10-11-9-13-52-83-66-d
5	o-36-40-43-44-38-39-42-41-37-35-d
6	o-19-18-48-21-23-24-22-20-25-49-d
7	o-64-51-63-67-94-93-96-54-72-71-d
8	o-81-80-91-56-76-77-58-65-d
9	o-6-88-98-99-45-46-7-d
10	o-68-70-2-1-3-5-8-4-100-61-d
11	o-90-53-74-d
12	o-84-55-d
13	o-d
14	o-d
15	o-d
16	o-d
17	o-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
