Evaluation
Total Distance	1718.9474092062376
Used Vehicle Number	12

VehicleID	CustomerID
0	o-59-75-97-9-14-47-17-16-d
1	o-80-34-33-32-30-31-29-27-26-28-d
2	o-21-23-86-87-57-74-52-82-d
3	o-42-43-40-38-36-35-37-39-41-72-d
4	o-85-63-89-76-18-48-19-25-49-d
5	o-6-7-3-8-46-45-5-55-2-d
6	o-56-95-50-62-67-84-96-71-93-94-d
7	o-78-69-60-79-12-73-88-d
8	o-98-10-15-11-53-13-58-d
9	o-70-1-44-54-81-68-100-61-d
10	o-65-66-83-64-51-24-20-77-22-d
11	o-91-92-99-4-90-d
12	o-d
13	o-d
14	o-d
15	o-d
16	o-d
17	o-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
