Evaluation
Total Distance	1523.8652106294935
Used Vehicle Number	12

VehicleID	CustomerID
0	o-34-33-32-30-31-29-27-28-26-d
1	o-52-57-86-59-97-87-75-58-65-d
2	o-51-85-63-76-21-48-18-89-d
3	o-22-20-49-19-23-24-25-77-d
4	o-42-39-43-40-38-41-37-36-35-72-d
5	o-12-14-47-17-15-9-10-13-16-73-d
6	o-98-2-6-7-46-45-8-1-3-4-5-d
7	o-88-60-11-78-79-55-68-100-70-d
8	o-92-95-56-64-83-99-82-74-66-91-d
9	o-94-93-71-44-54-96-80-81-61-90-d
10	o-62-67-84-50-d
11	o-69-53-d
12	o-d
13	o-d
14	o-d
15	o-d
16	o-d
17	o-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
