Evaluation
Total Distance	1507.3805514226112
Used Vehicle Number	13

VehicleID	CustomerID
0	o-75-97-59-87-86-74-58-90-d
1	o-34-31-29-27-26-28-30-32-33-50-80-d
2	o-2-6-7-46-45-8-5-3-1-70-100-68-d
3	o-19-18-48-21-23-49-24-20-25-57-65-d
4	o-42-43-40-44-38-36-35-37-39-72-81-d
5	o-64-51-89-76-84-63-85-95-56-91-d
6	o-14-47-17-16-15-10-9-52-22-66-d
7	o-78-73-11-12-53-60-88-98-82-d
8	o-96-94-93-71-67-54-41-61-d
9	o-92-62-99-77-83-d
10	o-69-79-13-d
11	o-4-d
12	o-55-d
13	o-d
14	o-d
15	o-d
16	o-d
17	o-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
