Evaluation
Total Distance	1687.9772368983456
Used Vehicle Number	12

VehicleID	CustomerID
0	o-98-2-6-7-46-45-8-5-3-4-1-d
1	o-59-75-97-9-14-47-17-16-d
2	o-78-73-15-87-86-13-12-10-d
3	o-68-88-60-11-21-24-57-52-d
4	o-22-20-49-19-23-48-89-18-83-d
5	o-64-51-85-63-76-77-25-66-d
6	o-34-33-32-30-31-29-27-28-26-d
7	o-42-39-43-40-38-41-37-36-35-72-d
8	o-94-93-71-44-54-96-70-100-61-d
9	o-91-92-56-95-62-67-84-80-50-d
10	o-90-65-82-69-99-53-74-58-d
11	o-81-79-55-d
12	o-d
13	o-d
14	o-d
15	o-d
16	o-d
17	o-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
