Evaluation
Total Distance	2190.898196813522
Used Vehicle Number	19

VehicleID	CustomerID
0	o-65-92-95-62-84-85-50-91-93-d
1	o-72-39-36-38-40-35-37-70-100-d
2	o-42-44-61-41-43-80-d
3	o-47-14-16-15-9-97-74-58-d
4	o-83-52-75-25-77-d
5	o-5-45-2-8-7-6-46-1-4-d
6	o-63-33-28-30-34-26-32-d
7	o-98-69-88-79-13-17-d
8	o-59-11-12-78-10-60-d
9	o-82-64-51-49-20-24-48-d
10	o-27-29-31-89-d
11	o-21-23-19-18-56-d
12	o-67-71-94-54-96-d
13	o-76-22-66-68-d
14	o-73-53-55-d
15	o-99-57-86-d
16	o-90-81-d
17	o-87-d
18	o-3-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
