Evaluation
Total Distance	1913.5017755878828
Used Vehicle Number	17

VehicleID	CustomerID
0	o-33-28-27-34-26-32-93-80-d
1	o-14-59-75-97-77-58-d
2	o-92-63-76-18-49-20-89-d
3	o-31-30-29-50-56-91-70-d
4	o-65-83-23-21-19-22-48-25-d
5	o-42-39-36-40-38-37-43-35-d
6	o-47-11-15-16-9-10-17-13-d
7	o-45-5-2-8-7-6-46-1-4-100-d
8	o-98-73-79-3-60-d
9	o-52-99-86-87-74-24-d
10	o-95-62-51-85-84-66-d
11	o-72-44-61-41-96-54-d
12	o-82-12-53-78-55-68-d
13	o-69-64-57-d
14	o-67-71-94-d
15	o-88-90-d
16	o-81-d
17	o-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
