Evaluation
Total Distance	2184.4247007118574
Used Vehicle Number	18

VehicleID	CustomerID
0	o-65-83-21-23-18-22-49-20-48-25-d
1	o-33-28-29-30-34-26-32-93-d
2	o-14-47-15-16-73-46-4-1-70-d
3	o-59-75-57-74-58-80-d
4	o-92-31-27-50-89-d
5	o-82-52-99-87-97-13-17-d
6	o-5-45-7-8-6-3-60-100-d
7	o-72-39-71-41-96-91-d
8	o-98-69-88-79-55-68-d
9	o-63-62-67-85-56-24-d
10	o-95-19-86-10-d
11	o-42-36-44-38-40-37-43-35-d
12	o-64-76-51-84-77-d
13	o-12-11-53-66-d
14	o-2-61-81-54-d
15	o-9-d
16	o-90-94-d
17	o-78-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
