Evaluation
Total Distance	1902.2364764594474
Used Vehicle Number	17

VehicleID	CustomerID
0	o-92-28-30-29-26-34-32-93-80-d
1	o-5-45-2-7-8-46-3-1-4-100-70-d
2	o-95-33-85-89-91-d
3	o-14-47-15-73-79-17-60-d
4	o-65-83-23-21-19-18-49-20-48-25-d
5	o-59-75-87-97-77-58-d
6	o-63-76-51-22-24-d
7	o-36-39-38-44-40-43-68-d
8	o-11-12-16-9-10-13-d
9	o-82-52-99-86-57-74-d
10	o-98-88-78-6-55-d
11	o-72-42-61-41-37-35-d
12	o-62-67-71-50-54-d
13	o-69-64-84-56-66-d
14	o-27-31-94-96-d
15	o-90-53-d
16	o-81-d
17	o-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
