Evaluation
Total Distance	1990.5990848291397
Used Vehicle Number	16

VehicleID	CustomerID
0	o-5-45-2-7-8-46-3-4-1-100-70-d
1	o-14-47-73-79-6-55-60-80-d
2	o-65-59-15-16-9-97-58-d
3	o-82-11-12-87-10-13-d
4	o-69-98-88-53-78-17-d
5	o-83-21-23-19-18-49-20-24-48-d
6	o-92-63-76-51-22-77-25-d
7	o-33-28-27-34-26-32-93-d
8	o-31-30-29-50-89-d
9	o-42-39-36-40-38-37-43-35-d
10	o-72-44-61-41-96-54-91-d
11	o-95-52-57-86-74-d
12	o-62-67-84-85-56-66-d
13	o-64-99-90-68-d
14	o-71-81-94-d
15	o-75-d
16	o-d
17	o-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
