Evaluation
Total Distance	2087.233710263883
Used Vehicle Number	5

VehicleID	CustomerID
0	o-42-36-39-45-5-2-98-47-15-16-11-12-73-8-79-7-6-78-9-10-3-46-4-43-35-1-60-80-93-70-100-d
1	o-92-65-14-59-83-75-52-23-21-18-19-76-51-22-86-87-57-49-97-20-24-74-17-13-48-25-77-58-d
2	o-72-95-63-33-28-27-29-31-30-62-67-71-38-40-41-94-85-84-34-50-56-32-26-54-68-91-89-d
3	o-69-82-64-88-61-44-81-53-99-90-96-55-37-d
4	o-66-d
5	o-d
6	o-d
7	o-d
8	o-d
9	o-d
10	o-d
11	o-d
12	o-d
13	o-d
14	o-d
15	o-d
16	o-d
17	o-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
