Evaluation
Total Distance	2159.9692603038275
Used Vehicle Number	5

VehicleID	CustomerID
0	o-92-59-63-33-28-27-29-31-30-76-19-21-18-22-51-84-85-49-57-26-34-50-32-89-48-24-25-77-58-93-80-d
1	o-42-36-39-45-5-2-98-47-15-16-11-12-73-8-79-7-6-78-9-10-3-46-43-1-4-17-13-60-100-70-d
2	o-14-72-95-62-23-67-71-44-61-38-40-41-81-94-56-66-20-97-74-35-91-d
3	o-65-69-82-52-83-88-75-53-99-87-86-37-54-96-55-68-d
4	o-64-90-d
5	o-d
6	o-d
7	o-d
8	o-d
9	o-d
10	o-d
11	o-d
12	o-d
13	o-d
14	o-d
15	o-d
16	o-d
17	o-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
