Evaluation
Total Distance	2286.7225395206033
Used Vehicle Number	5

VehicleID	CustomerID
0	o-92-59-63-33-28-27-29-31-30-76-19-21-18-22-51-84-85-49-57-34-50-32-26-54-68-35-91-80-25-d
1	o-42-45-5-14-47-15-11-12-52-23-75-86-99-53-9-87-10-46-3-37-43-55-60-4-1-100-93-70-d
2	o-65-72-83-82-64-95-62-67-71-44-61-38-40-41-81-94-56-20-97-24-74-48-77-89-58-d
3	o-39-36-69-98-2-88-7-73-16-79-8-6-78-96-66-17-13-d
4	o-90-d
5	o-d
6	o-d
7	o-d
8	o-d
9	o-d
10	o-d
11	o-d
12	o-d
13	o-d
14	o-d
15	o-d
16	o-d
17	o-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
