Evaluation
Total Distance	2227.4564487030616
Used Vehicle Number	5

VehicleID	CustomerID
0	o-45-14-59-47-15-11-12-75-23-21-19-18-76-85-84-51-49-22-57-20-10-97-74-24-89-77-58-25-48-80-93-d
1	o-42-36-39-72-27-28-33-29-31-30-71-44-40-38-7-8-41-46-3-54-43-35-37-68-4-1-60-70-100-d
2	o-65-63-5-2-69-98-82-52-16-73-88-6-79-78-9-53-66-56-50-32-55-13-17-d
3	o-92-95-62-64-83-61-99-81-67-86-94-26-34-96-91-d
4	o-90-87-d
5	o-d
6	o-d
7	o-d
8	o-d
9	o-d
10	o-d
11	o-d
12	o-d
13	o-d
14	o-d
15	o-d
16	o-d
17	o-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
