Evaluation
Total Distance	1055.4862880815276
Used Vehicle Number	3

VehicleID	CustomerID
0	o-33-81-78-34-35-71-65-66-20-32-90-63-64-49-36-46-48-47-19-11-10-70-30-51-9-24-29-79-3-68-80-54-55-39-56-75-22-41-43-14-74-72-73-21-4-25-12-77-50-1-28-d
1	o-5-60-83-45-17-61-16-86-91-85-98-37-93-92-44-42-15-38-84-8-82-7-88-18-96-99-59-95-97-87-53-94-6-89-52-31-27-26-40-13-100-58-57-2-d
2	o-69-62-76-67-23-d
3	o-d
4	o-d
5	o-d
6	o-d
7	o-d
8	o-d
9	o-d
10	o-d
11	o-d
12	o-d
13	o-d
14	o-d
15	o-d
16	o-d
17	o-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
