Evaluation
Total Distance	1148.3188401823443
Used Vehicle Number	3

VehicleID	CustomerID
0	o-33-81-78-34-35-71-51-20-30-10-62-64-49-36-46-82-48-47-19-11-63-90-32-66-9-79-3-68-80-54-72-73-42-43-41-22-74-75-56-39-4-55-25-24-29-77-50-65-1-d
1	o-5-60-83-45-17-61-16-86-93-37-98-85-91-14-44-38-15-57-2-21-23-40-67-87-97-59-95-96-84-94-6-13-89-18-52-7-88-31-70-27-28-100-58-26-12-d
2	o-92-99-76-69-53-8-d
3	o-d
4	o-d
5	o-d
6	o-d
7	o-d
8	o-d
9	o-d
10	o-d
11	o-d
12	o-d
13	o-d
14	o-d
15	o-d
16	o-d
17	o-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
