Evaluation
Total Distance	1088.2902094490748
Used Vehicle Number	3

VehicleID	CustomerID
0	o-42-43-14-91-61-16-86-17-45-46-48-47-36-49-64-19-11-63-90-32-66-65-33-81-78-34-35-71-9-51-20-30-70-10-31-88-7-82-18-83-60-5-85-100-37-98-93-59-96-95-97-57-2-40-27-d
1	o-21-73-72-41-22-75-56-39-23-15-44-67-54-24-29-79-3-68-80-12-76-50-1-53-52-8-84-89-6-94-13-74-55-4-25-77-26-58-28-d
2	o-92-38-99-62-69-87-d
3	o-d
4	o-d
5	o-d
6	o-d
7	o-d
8	o-d
9	o-d
10	o-d
11	o-d
12	o-d
13	o-d
14	o-d
15	o-d
16	o-d
17	o-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
