Evaluation
Total Distance	1126.6682052696824
Used Vehicle Number	3

VehicleID	CustomerID
0	o-33-81-78-34-35-71-65-66-20-32-90-63-64-49-36-46-48-47-19-11-10-70-79-29-24-80-68-3-9-51-50-1-31-88-7-82-45-17-86-16-61-91-100-14-43-42-57-41-30-d
1	o-18-60-83-5-96-95-97-92-59-37-93-85-44-22-56-39-67-23-15-87-38-84-8-99-94-6-89-40-21-73-72-75-74-26-12-54-55-4-25-77-58-2-13-28-27-52-98-d
2	o-69-76-62-53-d
3	o-d
4	o-d
5	o-d
6	o-d
7	o-d
8	o-d
9	o-d
10	o-d
11	o-d
12	o-d
13	o-d
14	o-d
15	o-d
16	o-d
17	o-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
