Evaluation
Total Distance	1149.1549766325527
Used Vehicle Number	4

VehicleID	CustomerID
0	o-67-74-72-63-62-66-64-61-68-49-55-54-65-58-60-56-53-40-57-59-45-46-44-52-50-51-47-43-48-41-42-78-77-96-d
1	o-22-27-29-24-6-30-31-35-32-37-33-36-34-39-38-26-23-28-16-19-18-12-14-17-13-15-25-10-11-9-90-21-8-d
2	o-75-2-1-5-99-92-97-100-95-98-7-94-89-4-3-84-83-86-82-88-76-71-70-85-80-79-81-73-87-d
3	o-20-93-69-91-d
4	o-d
5	o-d
6	o-d
7	o-d
8	o-d
9	o-d
10	o-d
11	o-d
12	o-d
13	o-d
14	o-d
15	o-d
16	o-d
17	o-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
