Evaluation
Total Distance	777.006703605969
Used Vehicle Number	4

VehicleID	CustomerID
0	o-93-20-22-24-27-29-30-6-32-33-31-35-37-38-39-36-34-26-28-23-18-19-16-14-12-15-17-13-25-9-11-10-8-21-d
1	o-2-75-1-99-97-92-94-100-95-98-3-89-4-7-88-91-84-83-86-82-85-71-70-73-76-79-80-81-78-77-96-87-90-d
2	o-62-74-64-61-72-66-69-65-49-55-68-53-54-60-58-56-59-44-40-57-46-45-51-50-52-47-42-41-43-48-d
3	o-5-63-67-d
4	o-d
5	o-d
6	o-d
7	o-d
8	o-d
9	o-d
10	o-d
11	o-d
12	o-d
13	o-d
14	o-d
15	o-d
16	o-d
17	o-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
