Evaluation
Total Distance	1011.1793479596786
Used Vehicle Number	4

VehicleID	CustomerID
0	o-2-75-1-99-97-92-94-100-95-98-3-4-7-88-91-89-83-84-86-85-82-76-71-73-80-79-70-77-78-81-87-96-d
1	o-62-74-63-64-61-72-66-69-68-65-49-55-54-53-56-58-59-57-40-60-45-51-46-44-52-47-42-41-50-43-8-21-48-90-d
2	o-22-24-27-29-30-6-32-33-31-35-37-39-36-34-38-26-23-18-28-14-16-19-17-12-13-15-25-10-11-9-d
3	o-20-67-93-5-d
4	o-d
5	o-d
6	o-d
7	o-d
8	o-d
9	o-d
10	o-d
11	o-d
12	o-d
13	o-d
14	o-d
15	o-d
16	o-d
17	o-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
