Evaluation
Total Distance	1087.519252281028
Used Vehicle Number	4

VehicleID	CustomerID
0	o-22-24-27-29-30-6-33-32-35-37-38-31-39-36-28-26-34-18-19-23-12-14-16-17-13-15-25-8-10-11-9-90-21-d
1	o-63-62-72-61-64-74-69-68-65-66-55-53-49-56-54-60-59-58-44-40-57-51-45-46-47-43-52-50-48-41-42-78-96-d
2	o-2-75-5-1-99-97-100-94-95-98-92-7-89-4-3-91-84-83-82-88-86-71-76-85-80-73-70-81-79-87-77-d
3	o-20-67-93-d
4	o-d
5	o-d
6	o-d
7	o-d
8	o-d
9	o-d
10	o-d
11	o-d
12	o-d
13	o-d
14	o-d
15	o-d
16	o-d
17	o-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
