Evaluation
Total Distance	1057.8058182671284
Used Vehicle Number	4

VehicleID	CustomerID
0	o-2-75-5-99-97-1-92-100-95-98-7-94-89-4-3-91-84-83-86-88-85-82-76-73-70-71-81-80-79-96-77-78-87-d
1	o-22-24-27-29-30-32-33-35-6-31-38-39-36-37-26-28-34-19-18-23-12-14-16-17-13-15-25-10-11-9-90-21-8-d
2	o-93-62-74-72-61-64-20-69-49-65-68-55-54-58-56-53-57-40-59-60-45-46-44-52-50-51-47-43-41-42-48-d
3	o-67-63-66-d
4	o-d
5	o-d
6	o-d
7	o-d
8	o-d
9	o-d
10	o-d
11	o-d
12	o-d
13	o-d
14	o-d
15	o-d
16	o-d
17	o-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
