Evaluation
Total Distance	1467.4964828234886
Used Vehicle Number	4

VehicleID	CustomerID
0	o-5-45-36-47-63-64-65-71-33-51-81-78-79-29-30-19-90-10-66-20-9-35-34-3-68-50-77-80-24-32-70-1-17-48-d
1	o-92-59-95-42-14-15-72-39-23-75-67-21-73-40-2-98-85-61-44-16-86-38-87-57-22-56-41-54-55-4-74-97-37-91-100-43-25-13-89-60-58-93-d
2	o-83-82-11-62-31-69-76-12-28-27-88-7-52-18-99-8-84-49-46-96-94-6-26-d
3	o-53-d
4	o-d
5	o-d
6	o-d
7	o-d
8	o-d
9	o-d
10	o-d
11	o-d
12	o-d
13	o-d
14	o-d
15	o-d
16	o-d
17	o-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
