Evaluation
Total Distance	1531.7053278381604
Used Vehicle Number	3

VehicleID	CustomerID
0	o-92-59-5-95-2-42-14-15-21-72-23-67-39-75-73-22-57-44-16-61-86-38-85-87-43-41-56-74-13-26-4-25-55-24-68-80-54-35-1-70-77-58-d
1	o-45-36-47-31-63-64-11-62-19-82-7-83-18-99-98-94-6-88-90-8-37-84-46-49-32-66-20-10-96-48-89-60-91-17-100-93-d
2	o-33-65-29-12-28-27-52-69-71-30-51-79-78-81-9-76-3-34-40-53-50-97-d
3	o-d
4	o-d
5	o-d
6	o-d
7	o-d
8	o-d
9	o-d
10	o-d
11	o-d
12	o-d
13	o-d
14	o-d
15	o-d
16	o-d
17	o-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
