Evaluation
Total Distance	1646.9881577179624
Used Vehicle Number	4

VehicleID	CustomerID
0	o-5-45-36-47-63-64-11-19-62-71-65-9-29-79-78-81-90-34-51-10-46-49-32-20-35-66-24-68-80-77-1-60-48-70-d
1	o-92-59-95-72-39-23-15-14-44-16-42-38-86-57-41-22-75-73-67-40-87-56-55-54-26-50-3-25-74-43-100-4-91-93-89-58-d
2	o-27-83-82-31-52-33-12-21-2-98-61-85-99-84-18-30-88-7-8-6-37-97-94-96-13-17-d
3	o-28-69-53-76-d
4	o-d
5	o-d
6	o-d
7	o-d
8	o-d
9	o-d
10	o-d
11	o-d
12	o-d
13	o-d
14	o-d
15	o-d
16	o-d
17	o-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
