Evaluation
Total Distance	1408.0420302621897
Used Vehicle Number	12

VehicleID	CustomerID
0	o-78-34-35-71-65-66-20-32-1-d
1	o-14-43-15-41-22-75-56-74-57-2-d
2	o-54-24-29-81-79-33-51-30-50-3-d
3	o-72-39-23-67-55-4-25-26-d
4	o-61-16-86-44-17-45-46-47-5-d
5	o-95-97-42-38-37-98-91-85-93-59-96-6-d
6	o-90-63-11-64-49-36-19-48-7-d
7	o-52-18-60-83-82-8-31-70-10-88-89-d
8	o-28-12-80-68-76-9-27-40-73-21-d
9	o-92-69-87-94-13-100-d
10	o-62-53-77-d
11	o-99-84-58-d
12	o-d
13	o-d
14	o-d
15	o-d
16	o-d
17	o-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
